500 beads: initial twist19
Frame,Tw,Wr

0,18.8199922063,0.0
1,18.4388312328,0.0642894810099
2,18.0553684452,0.439498373033
3,18.1775488361,0.306376218583
4,17.818688832,0.705860593976
5,17.9065772137,0.612190953972
6,17.9278880267,0.593100698923
7,17.7557177243,0.764553133651
8,17.5764083555,0.957900433179
9,17.4919676271,1.05264947282
10,17.4611919885,1.05490640403
11,17.634192976,0.900986529603
12,17.5734122959,0.952694200547
13,17.247432607,1.26532954588
14,17.3230649736,1.23754457227
15,17.4162795173,1.13875011797
16,17.5692365545,0.97645854165
17,17.2730558082,1.23624988764
18,17.5866777408,0.937505479847
19,16.9092682711,1.61304181239
20,17.3934969973,1.12075582059
21,17.3111053876,1.24934167148
22,17.0546988891,1.48966701635
23,16.8157479214,1.7394286123
24,16.7975663697,1.79164069403
25,16.5954093094,1.96801106859
26,16.9842209499,1.57609633666
27,16.8299037906,1.71769073462
28,16.6933323597,1.81555072055
29,16.8282512186,1.73923205347
30,16.6608839467,1.90756291089
31,16.64952354,1.8857225193
32,16.8486476845,1.69507158423
33,16.7388185388,1.81702322913
34,16.0985300341,2.50078028518
35,16.3883156387,2.15006468374
36,16.60340861,1.92995770201
37,16.66242492,1.8873831987
38,16.8245830155,1.70426908141
39,16.5582528656,2.02959989366
40,16.9057448341,1.65007188034
41,16.6366583166,1.92311287876
42,16.5887786338,1.97408758244
43,16.4467890093,2.1183292766
44,16.2147744719,2.31096388332
45,16.1733803079,2.40032170769
46,15.9557310689,2.63337059104
47,16.2909706978,2.26317735471
48,16.5180953182,2.04970661305
49,16.4786152866,2.07571133108
50,15.957946015,2.62820960488
51,16.199806671,2.34563435577
52,16.381871071,2.16306742523
53,16.0991257341,2.48840163606
54,15.9672564281,2.62247391036
55,16.2671034035,2.31859532806
56,16.133918102,2.4432542008
57,16.1903310953,2.3949871944
58,15.8222946385,2.75241087613
59,15.8902800351,2.7369250451
60,16.1263268264,2.44310500469
61,15.916389587,2.69347009797
62,16.0296852003,2.55322191781
63,15.9347950014,2.66819965922
64,16.3604285402,2.24538212374
65,16.2288464111,2.36719394828
66,15.6667445805,2.90739232575
67,16.0419895182,2.54300064842
