500 beads: initial twist13
Frame,Tw,Wr

0,12.9422543856,0.0
1,12.5321728652,0.188642478343
2,12.3878643979,0.31131501766
3,12.4418041961,0.263264633364
4,12.1348956616,0.589011544862
5,12.1338559468,0.604086648993
6,12.1377491182,0.59224880912
7,12.0960248131,0.653763443884
8,12.3061736145,0.40837514167
9,12.077767685,0.623841018925
10,12.0951427484,0.606864611639
11,11.9314978392,0.805362147871
12,11.7274811151,1.02185209723
13,11.7239280692,0.998645611376
14,11.8262012731,0.88476997792
15,11.8124840001,0.949591705216
16,11.8550406518,0.881757331707
17,11.731327746,1.01455582031
18,12.2117970617,0.538026700122
19,11.5695035639,1.14466843514
20,11.6132086949,1.13169953367
21,11.778990231,0.976513797748
22,11.6455210881,1.08054540487
23,11.8960346486,0.826110609246
24,11.8088800388,0.930111282653
25,11.6360705282,1.11277208865
26,11.815150918,0.938924834228
27,11.9010523169,0.84488653342
28,11.7090519173,1.00807379309
29,11.6581633887,1.06582864132
30,11.4409609164,1.30439904352
31,11.319654007,1.44139908129
32,11.4054844109,1.30422621028
33,11.4444729407,1.31903981549
34,11.3557008787,1.40348209172
35,11.7925315899,0.963946488996
36,11.2665923534,1.48915535255
37,11.3029533566,1.45803880964
38,11.46227253,1.2766051019
39,11.0897230713,1.68690053786
40,11.1640503076,1.60583622907
41,11.1777330533,1.5627586492
42,11.4412352479,1.28049955563
43,11.03666118,1.72534421134
44,11.3755177066,1.3664160784
45,11.2851997134,1.48641799909
46,11.2261749587,1.53947749651
47,10.9730917175,1.77934217892
48,11.0918367278,1.6653733567
49,11.2271539248,1.51710469837
50,11.0468323745,1.69073577733
51,11.3338507292,1.44232438654
52,11.0918350762,1.67204539884
53,11.0427750476,1.72108891417
54,11.1903191933,1.53632072746
55,11.5812448877,1.18215840985
56,11.4600921856,1.2941571418
57,11.1546928186,1.59399624152
58,11.4310560562,1.29122051516
59,11.406038236,1.36987687399
60,11.3972427229,1.35955693256
61,11.1133559767,1.68489147948
62,11.1432105116,1.61225549878
63,10.9912688144,1.7817645679
64,11.4751140311,1.28988740252
65,11.3207403611,1.44123790856
66,11.3350892669,1.40934536344
67,11.0678379449,1.69181991995
68,11.3867722736,1.36739435664
69,11.0793667423,1.7053956147
70,11.2687771786,1.47681857169
71,11.2060995529,1.53802708032
72,11.0557319035,1.6980404677
73,11.3106165726,1.41673640585
74,11.0295686528,1.72292053819
75,11.259633145,1.47329277145
76,11.2269684017,1.51995903559
77,11.1407545949,1.61838119314
78,10.9075252168,1.86045703534
79,11.3528081094,1.41459491681
80,11.2614012375,1.50836306735
81,10.9160923113,1.82326264079
82,10.951789083,1.8181024676
83,11.0086392171,1.74911768981
84,10.6814971992,2.11054164434
85,11.1891154103,1.5923015479
86,10.9354221911,1.79531774729
87,10.8712195868,1.8791172808
88,11.3917023187,1.3403840825
89,10.7367399072,2.01605025379
90,11.1117429772,1.63745574416
91,11.0456674904,1.72864351541
92,10.629110802,2.16429627478
93,10.925906544,1.85618208995
94,11.0623547694,1.68476650936
95,11.0763923043,1.6799314352
96,10.6791625244,2.11591471747
97,10.6925461925,2.04794027204
98,10.7465476542,2.02000402694
99,10.7544155925,2.0007291331
100,10.7983892351,1.95206831385
101,10.5613416801,2.21486048152
102,11.1412540573,1.62470766079
103,10.4518862174,2.3258522219
104,10.412496248,2.36911747905
105,11.0268725408,1.7348780874
106,10.3967280802,2.3866403045
107,9.85409451992,2.93360413066
108,10.6814606492,2.10236514067
109,10.2694082631,2.51526207826
110,10.4115391111,2.32904897893
111,9.93528355963,2.86532921701
112,10.1742277369,2.58392196668
113,10.7383573769,2.03920180166
114,10.8268774146,1.94774039769
115,10.773387231,1.99198984396
116,10.811919857,1.92729119277
117,10.6388086118,2.14068397468
118,10.6025912426,2.16575394838
119,10.4124980855,2.36194659511
120,10.5717015428,2.19158682315
121,10.3022445115,2.46998473987
122,10.6770429353,2.08219927546
123,10.6296338689,2.109617307
124,10.7539533191,2.00230084614
125,10.4043954367,2.37047528583
126,10.7786076393,2.00660983927
127,10.6121922006,2.16540703126
128,10.602874165,2.16383581351
129,10.2907632111,2.50089773949
130,10.3130576684,2.48068035239
131,9.95010547524,2.83530548793
132,10.1637031381,2.62230234846
133,9.80434272329,2.98812329219
134,9.85300171462,2.94600588024
135,9.5644498497,3.25697469592
136,9.72513128377,3.05461548543
137,9.9471972378,2.84065455942
138,9.71928574349,3.0811191372
139,9.98244382636,2.80710847719
140,10.1821633641,2.60570527569
141,9.96993848235,2.8071835657
142,10.0520676737,2.73413400792
143,9.88117923355,2.8919549646
144,9.85499277335,2.9374240537
145,9.38770168074,3.43239032311
146,9.73314783438,3.02545957555
147,9.35934617315,3.4453344299
148,9.34295319824,3.4801964888
149,9.39540546047,3.40772425062
150,9.44741397327,3.34649555474
151,9.51033836052,3.31562766091
152,9.18011052404,3.63104703471
153,8.78861038437,4.02625324815
154,9.32707003416,3.48346030891
155,9.18700228242,3.61826497163
156,9.42525839368,3.3852386782
157,9.28667145517,3.51521252718
158,9.85068241429,2.94382819931
159,9.63831103159,3.15188884128
160,9.27664426698,3.53848191313
161,9.80323193871,3.02212588824
162,9.38451497343,3.39567002973
163,9.48091890487,3.32565322466
164,9.08137944258,3.7329014303
165,8.98297663715,3.82856420596
166,8.58208429209,4.23216960771
167,8.83844593364,3.99086335837
168,8.77607336378,4.04490149317
169,8.90136794692,3.93433183975
170,8.78282104615,4.04568913143
171,8.350406838,4.45094195804
172,8.46941552764,4.31382005626
173,8.6142642664,4.22466526993
174,9.11284935376,3.68962780829
175,8.69032477112,4.11924754379
176,8.85290770705,3.9824131605
177,8.86694327986,3.96932745781
178,8.59253227622,4.24669749261
179,8.73301058525,4.10548875647
180,8.69174382277,4.15447706996
181,8.25349748315,4.57265195627
182,8.40375980608,4.43003423032
183,8.03856685426,4.79200391266
184,8.0295020258,4.81550714189
185,8.19325718422,4.63170747114
