500 beads: initial twist16
Frame,Tw,Wr

0,15.8924152918,0.0
1,15.3958241263,0.203371716366
2,15.2287086332,0.397292652339
3,15.1885753381,0.435303359947
4,15.0619871258,0.554394548141
5,14.8448358626,0.771850670465
6,14.969298261,0.660107414411
7,14.9752807739,0.657405437354
8,14.948726357,0.675622900776
9,14.804730559,0.850949938199
10,14.7146919091,0.864572135814
11,15.0316490407,0.602930782817
12,14.7974090381,0.855686094704
13,14.4733994509,1.13363597713
14,14.3471121921,1.30458324544
15,14.7819269337,0.836500280879
16,14.8154178144,0.847661886226
17,14.8666367377,0.75578894069
18,14.8178694446,0.826564636777
19,14.6513971774,0.970813029148
20,14.6905236629,0.941685275502
21,14.9395475017,0.703844381065
22,14.6286427525,1.01148276129
23,14.4460215724,1.22333038755
24,14.6409625437,1.01703781267
25,14.3887605025,1.22018007816
26,14.4909952598,1.19640184296
27,14.615716604,1.03719377045
28,14.4331062031,1.21444382859
29,14.2010067587,1.45505515445
30,14.0855227553,1.5771673165
31,14.1471566786,1.50395047923
32,14.2317992924,1.42360401623
33,14.1943666055,1.47343014836
34,13.8718500322,1.80991416317
35,13.910421804,1.7414133341
36,14.2287309934,1.45722275195
37,14.0970363395,1.56963269719
38,14.0399553166,1.61743425413
39,14.1193003984,1.55984746103
40,14.2922247294,1.37153820039
41,14.1234513611,1.52321075326
42,14.0966512179,1.56683755209
43,13.7006134641,1.94935254754
44,13.8202191362,1.831148364
45,13.866578316,1.81066693945
46,13.8467080163,1.82741725834
47,13.8611792057,1.82164785594
48,13.8973100124,1.72953405676
49,13.965424586,1.72186409027
50,13.9857261203,1.67473893411
51,14.1771585124,1.49132160702
52,13.5380801694,2.13718196473
53,13.6380530988,2.00800919283
54,13.6854227031,1.98774409418
55,13.6179810155,2.10346938154
56,13.7349034033,1.93048678609
57,13.8977184969,1.76722280289
58,13.6858460539,1.94135937578
59,13.7668603179,1.90272040008
60,13.4203257538,2.23276542402
61,13.9602295706,1.72438956101
62,13.8427512414,1.80360310074
63,13.8052111622,1.88617872779
64,13.8385382792,1.82876043803
65,13.6942956397,1.94646806531
66,13.5175632639,2.13465323425
67,13.5873350197,2.0786756765
68,13.6919582033,1.98516307965
69,13.6988263297,1.95850740821
70,13.6575388131,2.06128362782
71,13.5942548802,2.09443504085
72,13.3234474852,2.3431273739
73,13.8750579636,1.79398632479
74,13.1412556112,2.52260301145
75,13.1510020379,2.53979843347
76,13.4451195604,2.26508223706
77,13.7917522032,1.92997744478
78,13.5800223505,2.11080948239
79,13.442609498,2.24920025301
80,13.4632309298,2.21380237805
81,13.4169601977,2.2565090036
82,13.7091591328,1.97437423788
83,13.4363697345,2.2207254035
84,13.4223101406,2.26079233131
85,13.320575104,2.35083896819
86,13.0885244785,2.58369935535
87,12.9868970329,2.70481652947
88,13.3311354118,2.34720004808
89,13.2499847465,2.41815977553
90,13.3204935563,2.34392948072
91,13.5409697475,2.15227361969
92,13.111442193,2.57861602359
93,13.2752689425,2.43882630844
94,13.1280938791,2.55655276357
95,12.8138830814,2.82393537579
96,12.9637004812,2.72845249144
97,13.0076139779,2.66323510985
98,12.7587647997,2.95842103204
99,13.0526217195,2.67057751985
100,12.8662161816,2.86358095865
101,12.8552042535,2.85542212211
102,12.8334620205,2.88995557922
103,12.3683314425,3.36396155141
104,12.6176653011,3.1056585617
105,12.5623314636,3.15264534298
106,12.224687359,3.4989759703
107,12.2119257862,3.52446375723
108,12.3893608746,3.3418552262
