500 beads: initial twist18
Frame,Tw,Wr

0,17.846900098,0.0
1,17.494864673,0.0527113466116
2,17.1429651061,0.42554542891
3,17.1131746716,0.438419400958
4,16.9466618364,0.560867465991
5,16.8411692461,0.758477607898
6,16.9093711858,0.673176530677
7,16.8703199075,0.655719261637
8,16.6845235994,0.858069187447
9,16.9465151421,0.604810937906
10,16.615568593,0.897187840722
11,16.7973211273,0.726222387479
12,16.5966945234,0.940104356668
13,16.3867083041,1.16351555195
14,16.6236922898,0.957766663167
15,16.3798343366,1.20359221479
16,16.4418952166,1.16171276477
17,16.5653573451,0.998472378654
18,16.5942151971,0.96343541978
19,16.3957558719,1.13283623943
20,16.5027385439,1.11365915714
21,16.3890298372,1.18677576786
22,16.3343207413,1.25484049856
23,15.8947728622,1.67193931907
24,16.3975529518,1.18661293184
25,16.2199001833,1.37340988163
26,16.1824446325,1.38893244599
27,16.3794263537,1.20063669453
28,16.1808389444,1.38673666222
29,16.0582842809,1.53561056769
30,16.1153085857,1.47182601392
31,15.8354344578,1.773077075
32,15.7733272898,1.81430690775
33,15.8246195464,1.77441533356
34,15.7173976497,1.89883247945
35,15.6147978757,2.00754066289
36,15.8620734335,1.73154623548
37,15.8712416026,1.7211135082
38,15.7852137316,1.81927031887
39,15.7691935986,1.84154009683
40,15.6333621652,1.95874588396
41,15.6212563219,1.97575636123
42,15.8905205272,1.73304872405
43,15.752919067,1.84252669497
44,15.6752579568,1.9278330746
45,15.5936964571,2.01903449188
46,15.7581771485,1.84908875825
47,15.6662595142,1.93248417557
48,15.277880542,2.35784773209
49,15.5426098816,2.07325926604
50,15.2771313593,2.32228560502
51,15.7953326482,1.79790463841
52,15.5645172648,2.07237272037
53,15.7299767751,1.85992333137
54,15.356562444,2.25915104528
55,15.4559640077,2.1751134382
56,15.2971314539,2.34091664498
57,15.0503501833,2.594428422
58,15.3255207597,2.25038573956
59,15.1985997511,2.45061273631
60,15.3642941566,2.23590788817
61,15.0469330086,2.58404447572
62,14.9693849225,2.62902960408
63,15.171156233,2.47454805535
64,15.1986634523,2.445917353
65,15.4776970349,2.13405289047
66,15.2626069787,2.3731153208
67,15.1471475456,2.51052176564
68,14.7444486523,2.92617552757
69,14.9841334827,2.65942826762
70,15.009316719,2.62833919444
71,15.0320592527,2.62014892578
72,14.9502640978,2.67819374815
73,14.9815134442,2.61011816647
74,14.9940188726,2.6398997083
75,14.8012956314,2.83623794717
76,14.624154344,3.02051370885
77,15.1763715858,2.47159002481
78,14.8447874129,2.8016944969
79,15.0180695158,2.61248310817
80,14.6964074251,2.93222442716
81,14.7366208361,2.9049579755
82,14.9187148799,2.71587557139
83,14.3542202501,3.26066970824
84,14.3600498802,3.30370902618
85,14.350857716,3.29964076038
86,14.3950371115,3.24906251008
87,14.1028940327,3.53981877915
88,14.1289006939,3.51648812296
89,14.2852903296,3.34346218173
90,14.5046207828,3.14105654979
91,14.1175768146,3.5682475233
92,13.9704649888,3.66408189357
93,14.1374684496,3.52404153095
94,13.8835540734,3.7590399543
95,14.1296056374,3.53757461809
96,14.0752544926,3.61178430847
97,14.6375425006,3.03576189507
98,14.5487238862,3.11371419146
99,14.1184302273,3.5345475485
100,13.9595616687,3.66697054596
101,13.5119934266,4.122434537
102,13.337849704,4.39602746797
103,13.7995739159,3.87149887524
104,13.1429492169,4.55497463828
105,13.6249857235,4.05719099879
106,13.660385802,4.03151202536
107,13.6139519522,4.06468057853
108,13.2005086675,4.4702748638
109,12.0211619798,5.69673035025
110,12.3663067031,5.32660082573
111,12.3854405344,5.34952749716
112,12.4000862092,5.30820586166
113,12.0317881057,5.72846041352
114,12.3421986611,5.3935858657
115,12.7389815592,4.96183318829
116,12.3739869999,5.3436067673
117,12.6685683579,5.02677202763
118,12.6190387153,5.06124719559
119,12.7340604688,4.98526401248
120,12.3161492301,5.38812740009
121,12.65069562,5.06603100369
122,12.4375433353,5.26740538731
123,12.6570587919,5.05496076275
124,12.1646141983,5.57903493469
125,12.5046720524,5.22129689223
126,11.8104311026,5.89993491284
127,11.6763624914,6.06199370675
128,11.6876161103,6.02179215993
129,11.537956603,6.19439319233
130,11.9835015438,5.70888699127
131,11.8666914603,5.86258744968
132,12.14367298,5.58877382207
133,11.8779918561,5.8693640112
134,11.7071530219,6.02419400058
135,11.2291209165,6.52846953543
136,11.821501131,5.90586517609
137,11.4324851986,6.33042127628
138,10.7836683779,6.97408603041
139,11.0194465747,6.76838390331
140,10.7880281508,6.97636276776
141,11.2492574679,6.50925226521
142,9.85645463881,7.92337999534
143,9.87909544956,7.91228104542
144,10.1549270359,7.63156204148
145,9.60370640123,8.18925492562
146,9.61615886623,8.20185662923
147,9.69289517241,8.10856170992
148,9.72106131569,8.08730183317
149,9.81343516547,7.99339464543
150,9.93402507195,7.8597859757
151,9.52426666083,8.27958694335
152,9.8041429967,8.01574420188
153,9.77762791086,8.02357704299
154,9.07359940451,8.74212687112
155,9.56902073458,8.24624524774
156,9.48755065119,8.31936503786
157,9.08717882052,8.72002873651
158,8.98154290157,8.83180683756
159,9.94375937664,7.84469996298
160,10.1437621478,7.64326117355
161,9.87361688833,7.91730798329
162,10.0062107342,7.77798493254
163,10.6012406452,7.18299153874
164,10.7244977307,7.06172068081
165,9.46874492161,8.33731357426
166,9.8414581836,7.95648740082
167,10.0876114041,7.69945658495
168,10.1204258144,7.67426126887
169,9.12456033867,8.67992465761
170,9.12659106242,8.70897613569
171,8.78830017639,9.01599266218
172,9.40840897662,8.38549002681
173,9.34429807281,8.43560853819
174,9.24807712659,8.56997916242
175,8.94020014132,8.87305292808
176,8.80820732,9.00587631885
177,9.13976216865,8.66227337303
178,9.00239326078,8.81715866547
179,8.89512023882,8.92546444679
180,8.85287556547,8.96353799257
181,8.7861267728,9.03226345156
182,9.13868058266,8.69855786217
183,9.20355562232,8.60307181285
184,8.95917821716,8.84510554436
185,8.61393384776,9.21915917255
186,8.85451240486,8.93450044882
187,8.42783260748,9.41588700814
188,8.50574471393,9.30839985993
189,8.1915560335,9.65676106045
190,7.59525144017,10.2548916468
191,7.90072578846,9.94626499649
