500 beads: initial twist17
Frame,Tw,Wr

0,16.8709897574,0.0
1,16.4387093538,0.135679894944
2,16.2607903226,0.334326190185
3,16.2356079764,0.374602954842
4,16.0021377455,0.587965953197
5,16.1081093841,0.48182305682
6,15.9882754799,0.618256821011
7,15.9917627757,0.564189994941
8,15.8901547881,0.712752191367
9,16.0101348326,0.563270913
10,15.5512741368,1.03389770326
11,15.6906638461,0.929731350285
12,15.6578383329,0.947318020706
13,15.4736105194,1.1158373138
14,15.5230308172,1.118513214
15,15.8510357823,0.765665000644
16,15.5125972761,1.08951882246
17,15.3167623761,1.27283915802
18,15.6279890691,0.994336387041
19,15.4806291236,1.13679115052
20,15.5357041937,1.06431590089
21,15.1712337134,1.41989882844
22,15.2943967223,1.27577191386
23,14.9175117924,1.70156426862
24,15.0218615247,1.58641008136
25,14.9941751074,1.61966042527
26,15.0437297666,1.58808024621
27,15.0330966199,1.59691283003
28,14.8966168416,1.76913560829
29,15.2936190275,1.31915428422
30,14.8857155733,1.74707084474
31,15.2470807207,1.40206188106
32,15.3368333914,1.26479328829
33,15.1468102888,1.47179876524
34,14.9827099634,1.65777009418
35,14.9053682127,1.74252846966
36,15.0057923431,1.60746971182
37,14.6593378511,2.02376503202
38,15.1540718082,1.46181128421
39,14.7240779646,1.93880712237
40,14.9270510143,1.71463283278
41,14.9857860827,1.64281468436
42,14.7503815939,1.90250808758
43,14.826216987,1.83449081139
44,14.8731875225,1.73446931092
45,14.8967320543,1.74227556939
46,13.9917525806,2.64183337626
47,14.5969800361,2.0686020955
48,14.5043747451,2.13837561058
49,14.7815554403,1.86803306237
50,14.5729630653,2.09216392886
51,14.8483432208,1.79193520259
52,14.7689131763,1.87315647576
53,14.763647074,1.89535141763
54,14.6799319929,1.95817382817
55,14.5421461695,2.09753645714
56,14.5054717348,2.13139416367
57,14.2220974868,2.42446511906
58,14.2889466048,2.33984751758
59,13.9052007853,2.78499318336
60,14.1350024028,2.55777664793
61,14.3419880032,2.31984113189
62,14.20052563,2.42488709492
63,14.1284796595,2.5265946902
64,14.5233205922,2.10587231587
65,14.3070281012,2.33540524754
66,14.2809542847,2.38404438798
