500 beads: initial twist24
Frame,Tw,Wr

0,23.6378180059,0.0
1,23.0466321314,0.162954992753
2,22.6225394422,0.623479742099
3,22.6472240108,0.607031428839
4,22.6327014908,0.601423182261
5,22.3993026946,0.879465918093
6,22.3140936056,0.984133614295
7,22.4343137507,0.876762694224
8,22.2998488967,0.989675624396
9,22.1072293916,1.15375185427
10,22.0884878197,1.12798224219
11,21.6565613053,1.61542487259
12,21.8975696973,1.36012371337
13,21.4187959235,1.91154276377
14,21.8942852386,1.41816251793
15,21.5236808387,1.80254759164
16,21.5936376293,1.70671564406
17,21.6205564699,1.64873384009
18,21.4604691188,1.87521992524
19,21.3841476317,1.93079138604
20,21.3643722152,1.98225189365
21,21.1151659049,2.18477700575
22,21.3655068309,1.93531994185
23,20.868535787,2.46686634768
24,21.059953498,2.26081235044
25,20.9474327931,2.42776773395
26,20.5717893568,2.7912605043
27,20.8520066849,2.52639275998
28,21.0732226584,2.30764859556
29,20.7692891072,2.59216869867
30,20.4145945178,2.92230751861
31,20.7455651006,2.55950207309
32,20.5512758499,2.79020355711
33,20.7476208385,2.60966458723
34,19.9951752375,3.36281773251
35,19.7032268642,3.71633472404
36,19.3463484816,4.0843376014
37,18.9722774445,4.51741091954
38,18.8466352665,4.56036416972
39,18.6558782935,4.8359904224
40,18.3847256983,5.09847195993
41,18.8007516837,4.63068024683
42,18.0417217059,5.48648542419
43,17.8447067377,5.66147653926
44,17.4474029161,6.09877069736
45,17.5983356702,5.90063744926
46,17.4416765444,6.11781910889
47,17.225057938,6.33435051225
48,17.2912725377,6.24405283654
49,17.3017661746,6.24205529156
50,17.080955425,6.45571690162
51,16.8130429249,6.72900443968
52,16.7685837101,6.81004110276
53,16.8399737456,6.71505357726
54,16.7957519724,6.76390172005
55,16.9131152545,6.65088932365
56,16.2038752501,7.39151248788
57,16.280261815,7.27854779415
58,16.108269999,7.48461900797
59,16.7338938032,6.80540629349
60,15.7104806668,7.89217924443
61,15.6797800907,7.90977714643
62,15.7059371765,7.88168745438
63,15.6324812631,7.99871791029
64,16.0607438446,7.52545774643
65,16.2546709808,7.3656403975
66,16.2678848173,7.28906275522
67,16.2579006939,7.29759143406
68,16.1721286488,7.42878106243
69,16.0088325615,7.58099418341
70,15.9306363827,7.67274921753
71,15.6601768349,7.95414194679
